"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_pass","scraped_at"
"in-bfcf0d973c43d37c","indeed","https://www.indeed.com/viewjob?jk=bfcf0d973c43d37c","https://recruitingbypaycor.com/career/JobIntroduction.action?id=8a7885ac9d93085e019dabf67e937a9f&source=Indeed+Free","Residential Maintenance Technician","Bath Fitter","Springfield, VA, US","2026-04-20","fulltime","","","","","",False,"","","","","Bath Fitter, the Nation's \\#1 Bathroom Remodeling Company, is looking to hire a service/detail technician to our production team. You will be joining an industry leader in sales and services, receiving unparalleled training and support from the best in the business. We pride ourselves on the highest level of top\\-quality products and reliable customer service. Bath Fitter is dedicated to serving our customers and the local community. We bring a unique and innovative bath remodeling process to the market, providing the most thorough and gratifying experience possible for our customers.

  

  

Responsibilities:


* Provide warranty service to existing Bath Fitter customers
* Make detailed evaluations of customer bathing areas
* Take a variety of exact measurements
* Identify any issues which may be of concern to the install technician


Qualifications:


* Carpentry/plumbing experience required
* Must be proficient in reading a tape measure and writing
* Must have a clean driving record, pass a background check, and pass a pre\\-employment drug screening


Benefits:


* Full\\-time, year\\-round position with paid training
* Take home work vehicle
* All tools provided
* 401K, PTO, Medical benefits available


Apply today by clicking the ‘Apply Now' button below and uploading your resume.  



  

Keywords: Installer, construction, remodeling, builder, general contractor, lumber, plumbing, bathroom remodel, carpenter, apprentice, trim, millwork, windows, doors, siding, roofing, kitchens, cabinets, flooring, roofing, new construction, remodeler, carpentry, tile, framer, framing, stairs


EOE


\\#PR1","","https://www.indeed.com/cmp/Bath-Fitter","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3b51387ebe119b40c4ce08db0cba8776","https://www.bathfitter.com","Saint-Eustache, QC","501 to 1,000","$100M to $500M (USD)","Bath Fitter is North America's leading manufacturer of acrylic bathtub and shower remodeling.","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-f7102fd48a7d32cc","indeed","https://www.indeed.com/viewjob?jk=f7102fd48a7d32cc","https://jobs.miter.com/walton-co/plumbing-foreman-pa-york","Plumbing Foreman","Walton & Company, Inc.","York, PA, US","2026-04-20","fulltime","","","","","",False,"","","","","### **Plumbing Foreman**

 **Position Summary**


The Plumbing Foreman is responsible for overseeing plumbing projects, managing a team of plumbers and apprentices, coordinating tasks, and ensuring the successful completion of plumbing work.

  

R.A. Walton \\& Company, headquartered in York, Pennsylvania, is a mechanical contracting firm specializing in commercial and industrial HVAC, plumbing, and piping services. The Company provides design\\-build construction, retrofits, and ongoing service solutions, with a strong commitment to safety, quality, and customer satisfaction.

 **Compensation \\& Benefits**


Walton \\& Company offers a competitive executive compensation package and comprehensive benefits, which may include:

* Competitive salary based on experience
* Health, dental, and vision insurance
* 401(k) with company match
* Paid time off and company holidays
* Ongoing professional development and leadership opportunities

 **Key Responsibilities**

* Plan, organize, and oversee plumbing projects, including scheduling, resource allocation, and material procurement.
* Interpret blueprints, drawings, and specifications to ensure accurate and code\\-compliant installations.
* Coordinate with other trades and contractors on multi\\-trade construction projects.
* Supervise crew members and ensure quality workmanship through regular site inspections and quality control processes.
* Enforce safety policies, conduct safety meetings, and investigate/report job site incidents.
* Monitor project budgets, control costs, and report financial and project progress to management.
* Track material usage and ensure efficient resource management.
* Communicate with clients regarding project requirements, progress updates, and issue resolution.
* Assist with diagnosing and resolving complex plumbing challenges.
* Maintain accurate project records and prepare required reports and documentation.
* Perform related duties as assigned.

 **Required Qualifications**

* High school diploma/GED required
* Possess and maintain a valid Pennsylvania driver's license
* Completed apprenticeship program and relevant plumbing licenses or certifications.
* Minimum of 5 years of experience as a journeyman plumber, with at least 2\\-3 years in a supervisory role.
* Proficient knowledge of plumbing systems, codes, and regulations.
* Strong leadership and team management skills.
* Excellent communication and interpersonal abilities.
* Problem\\-solving skills and the ability to make decisions quickly.
* Knowledge of safety practices and the ability to enforce them.

 **Physical Demands \\& Work Environment:**


The Plumbing Foreman position is physically demanding and requires the ability to meet the established physical demands criteria for the trade, including frequent standing, walking, bending, kneeling, climbing, and lifting up to 75 pounds daily with or without assistance. Work is performed in both indoor and outdoor environments, often under extreme temperature conditions and varying weather conditions. Job sites may present wet or slippery surfaces, debris, uneven terrain, and potential exposure to chemical hazards. Consistent use of required personal protective equipment (PPE), including hard hats, steel\\-toed boots, safety glasses, and hearing protection, is mandatory to ensure a safe work environment.

  

Walton \\& Company is an Equal Opportunity Employer.","","https://www.indeed.com/cmp/Walton-&-Company,-Inc.","","https://www.waltonco.com/","1800 Industrial Highway, York, PA","201 to 500","$25M to $100M (USD)","","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-85b9b6993d0ae7aa","indeed","https://www.indeed.com/viewjob?jk=85b9b6993d0ae7aa","https://servpro-team-wall-9695.careerplug.com/j/02yej0p","Construction Services Lead","","Harrisburg, PA, US","2026-04-20","fulltime","direct_data","hourly",25.0,35.0,"USD",False,"","","","","**SERVPRO's former Franchise of the Year, Team Wall, is looking for our next great hero!**  

Who are we? Feel free to check us out: https://www.instagram.com/servproteamwall/?hl\\=en  

***Do you love helping people through difficult situations?***  

Then don’t miss your chance to join our Franchise as a new Construction Services Lead. In this position, you will be making a difference each and every day. We have a sincere drive toward the goal of helping make fire and water damage “Like it never even happened”!  

Our Franchise is seeking someone who is comfortable working hard in challenging situations, enjoys meeting new people, has excellent communication skills, enjoys supervising others, and is a serious multi\\-tasker. If you are self\\-motivated and have superb interpersonal skills, then you’ll thrive in this work environment. Are you highly dependable and super\\-excited about routinely exceeding expectations? Then *you* may be our perfect ***hero***!  

  

We’re looking for a skilled and hands\\-on **Construction Services Lead** to join our growing team! In this role, you'll perform a variety of construction tasks on small projects—carpentry, drywall, paint, flooring, and more—delivering high\\-quality results and excellent service to our clients.  

**What You'll Do:**
* Perform construction work on small projects (carpentry, drywall, flooring, etc.)
* Support project coordination, quality control, and subcontractor management
* Conduct site inspections and ensure work meets all codes and standards
* Assist with project scheduling, punch lists, and material logistics

Occasionally support larger projects with oversight and coordination  
* 

**What We’re Looking For:**
* Strong construction skills with experience in multiple trades
* Attention to detail and commitment to quality
* Great communication and organizational skills
* Carpentry experience
* Bonus: experience with tile, carpet, roofing, plumbing, electrical, or HVAC
* Excellent skills in rough and finish carpentry
* Proficiency in installing cabinets
* Ability to measure, cut, paint/finish, and install trim
* Flooring experience
* Basic rough carpentry skills
* Strong problem solving and customer service skillset
* A valid driver's license with a clean driving record.
* Ability to pass a criminal background check.
* You must be able to pass a drug test and be able to pass future random drug tests throughout employment.
* Must work well within a team environment to build each other up and be supportive.
* Must have reliable transportation to and from work.
* **Mitigation experience and IICRC certifications are a plus**

**Why Join SERVPRO Team Wall?**
* **More than a job** \\- join a family\\-owned company that values you
* **Get Paid Well** – Competitive wages that recognize your hard work.
* **Earn More** – Plenty of overtime opportunities available.
* **Stay Covered** – Medical, dental, and vision insurance starting the 1st of the month after 60 days.
* **Invest in Your Future** – 401k with company matching.
* **Take Time Off** – Generous PTO to recharge and relax.
* **Grow With Us** – Clear career path—many of our leaders started as technicians!
* **Level Up** – Ongoing training \\& certifications to boost your skills.

**Physical Requirements/Working Conditions:** This position involves performing physical activities and may require considerable use of whole body, such as climbing, lifting, balancing, walking, stooping, and handling of equipment. Position requires the ability to lift up to 50 lbs frequently.  

This is a great opportunity for someone who enjoys variety, takes pride in their work, and thrives in a team\\-focused environment. Ready to build something great with us?

*All employees of a SERVPRO® Franchise are hired by, employed by, and under the sole supervision and control of an independently owned and operated SERVPRO® Franchise. SERVPRO® Franchise employees are not employed by, jointly employed by, agents of, or under the supervision or control of Servpro Franchisor, LLC, in any manner whatsoever.*","","","","","","","","","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-4b7d1a37de526f41","indeed","https://www.indeed.com/viewjob?jk=4b7d1a37de526f41","https://jobs.ourcareerpages.com/job/975760?source=Indeed","Strategic Account Manager","ColonialWebb","Charlottesville, VA, US","2026-04-19","","","","","","",False,"","","","","ColonialWebb is seeking an enthusiastic, entry\\-level Account Manager with a mechanical engineering or background with skilled trades.


The ideal candidate:


* Understands applications of HVAC, electrical and plumbing systems
* Has solid computer skills (Microsoft Office products suite)
* Is committed to continuous learning in a fast\\-paced environment
* Enjoys interaction with many team members and clients.

If you have knowledge of the mechanical (HVAC, plumbing and electrical) commercial service industry, or a mechanical engineering background/education and looking for a great challenge, we encourage you to apply. We provide all the tools necessary to excel in this position, but the commitment to succeed comes from you!


**Who we are:**



We are focused on our people, our culture and our business. We specialize in multiple trades and our teams do work in New Construction, Mechanical Service, Industrial Refrigeration, Special Projects, and Manufacturing. We have been providing an array of services for our commercial customers for over 50 years.


**Perks of joining ColonialWebb:**


* Competitive salary and commission opportunities
* Career development and progression
* 401(k) plan with company match
* PTO and paid holidays
* Excellent medical, dental, life, vision and disability benefits
* Employee Assistance Program
* Employee referral incentives


**A day in the life:**


* Support sales and operations for Service Project and Service Agreement opportunities
* Perform estimating activities for commercial mechanical service projects (i.e., equipment replacements, retrofits, installations)
* Develop trusting relationships with customers and grow those relationships
* Identify customer objectives and how our services may fit their needs
* Analyze and make recommendations on modifying and repositioning agreements on renewal processes


**You should have:**


* Mechanical Engineering degree or 2 \\+ years mechanical experience (HVAC, plumbing, or electrical)
* Skillful listener, with excellent communication, interpersonal, and customer service skills
* Proficiency with MS Office, CRM systems, and Internet use
* Client management skills; able to manage customer relationships, perceptions and expectations


**Veterans and those with previous military experience are encouraged to apply.**



EOE M/W/Disability/Vets","","https://www.indeed.com/cmp/Colonialwebb","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c83901d2b82e8b5f04032593f436c0b","http://www.colonialwebb.com","1920 E. Parham Rd. Richmond, VA","1,001 to 5,000","$100M to $500M (USD)","ColonialWebb is one of the largest commercial, mechanical, and electrical contractors in the region. Business groups include Construction, Building Service, Industrial Refrigeration, and Manufacturing","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-0b6901707491210a","indeed","https://www.indeed.com/viewjob?jk=0b6901707491210a","https://jobs.ourcareerpages.com/job/971250?source=Indeed","Construction Project Manager","ColonialWebb","Richmond, VA, US","2026-04-19","fulltime","","","","","",False,"","","","","Our team is seeking an experienced Construction Project Manager to manage complex mechanical building construction projects in Central Virginia. In this role you will enjoy being onsite and seeing your work and team really be hands on. Join our winning team and ***BRING BUILDINGS TO LIFE!***


**Who we are:**



At ColonialWebb, we are deeply committed to our people, our culture, and the continued growth of our business. As a full\\-service MEP (Mechanical, Electrical, and Plumbing) contractor, we pride ourselves on the quality and expertise of our teams, who work across a diverse range of specialties, including New Construction, Mechanical Service, Industrial Refrigeration, and Manufacturing. For over 50 years, we've been dedicated to delivering comprehensive solutions and unmatched service to our commercial customers, earning a reputation as a trusted contractor in the industry.


**Perks of joining ColonialWebb:**


* Competitive salary
* Opportunities for career growth, training, and development
* 401(k) plan with a generous company match
* Personal leave, paid holidays, bereavement leave
* Excellent Medical, dental, vision, and Rx drug insurance
* Phone allowance / company phone
* Car allowance and fuel card
* Tuition reimbursement
* Employee referral incentives
* Scholarship program for employees’ children
* Discounts at major automotive, computer, and cell phone companies


**A day in the life:**


* Assume primary responsibility for the redemption of equipment, material and subcontractor estimates, secondary responsibility for labor and other costs
* Follow specific directions from project supervision as well as assign workers to specific duties
* Inspect work in process and completed work to ensure conformance to specifications
* Interpret specifications, blueprints, and job orders as needed for area of installation
* Review and release ColonialWebb Shop Drawings and Spool Drawings for timely field installation
* Establish and adjust work sequences to meet construction schedules, using knowledge of capacities of equipment and assigned personnel
* Teach, coach and provide direction to mechanics, apprentices and helpers to ensure that they work safely, deliver quality, and work productively
* Serve as Business Manager for ColonialWebb on construction projects
* Plan and coordinate with Construction Manager on project requirements as they relate to schedule, sequence, production and quality
* Perform other duties as assigned by supervisor
* Schedule: Full\\-time, Monday through Friday. Occasional evening and weekend work may be required as duties demand. *Unscheduled overtime may be required, as necessary*


**You should have:**


* A minimum of five years of commercial/industrial project management experience
* Experience with hands\\-on management of projects in excess of $10m (single project) Mechanical portion of total contract at $10\\+ million
* Ability to manage continuous flow of material and labor for large projects lasting a year or more
* Recent experience as PM for a mechanical contractor/subcontractor. (Not Owner’s Agent or Consultant or GC)
* OSHA 30\\-hour certification and knowledge of OSHA safety regulations.
* Ability to use current technology (i.e., laptop computer, tablet, smartphone, Microsoft Teams)
* Ability to deal diplomatically and effectively with internal and external customers
* Ability to work within precise standards of accuracy, make decisions based on measurable criteria and comprehend technical data
* Ability to demonstrate foresight and problem\\-solving skills to make sound business decisions
* Experience with management of active work in progress of $15k \\- $20m across several projects

  


**Apply online**: www.ColonialWebb.com/careers.



EOE M/F/Disability/Vets","","https://www.indeed.com/cmp/Colonialwebb","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c83901d2b82e8b5f04032593f436c0b","http://www.colonialwebb.com","1920 E. Parham Rd. Richmond, VA","1,001 to 5,000","$100M to $500M (USD)","ColonialWebb is one of the largest commercial, mechanical, and electrical contractors in the region. Business groups include Construction, Building Service, Industrial Refrigeration, and Manufacturing","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-ebda944cd9e2c186","indeed","https://www.indeed.com/viewjob?jk=ebda944cd9e2c186","https://jobs.ourcareerpages.com/job/971248?source=Indeed","Assistant Construction Superintendent","ColonialWebb","Richmond, VA, US","2026-04-19","","","","","","",False,"","","","","The Assistant Construction Superintendent will run the day\\-to\\-day operations on the construction site and control the schedule of construction projects. You must have strong leadership abilities and be skilled and experienced in managing construction subcontractors and suppliers, cost monitoring, scheduling and problem solving.


**Who we are:**



At ColonialWebb, we are deeply committed to our people, our culture, and the continued growth of our business. As a full\\-service MEP (Mechanical, Electrical, and Plumbing) contractor, we pride ourselves on the quality and expertise of our teams, who work across a diverse range of specialties, including New Construction, Mechanical Service, Industrial Refrigeration, and Manufacturing. For over 50 years, we've been dedicated to delivering comprehensive solutions and unmatched service to our commercial customers, earning a reputation as a trusted contractor in the industry.


**Perks of joining ColonialWebb:**


* Market, competitive wages based on experience
* Opportunities for career growth, training, and development
* 401(k) plan with a generous company match
* Personal leave, paid holidays, bereavement leave
* Excellent Medical, dental, vision, and Rx drug insurance
* Life and accidental death insurance
* Short and Long\\-Term Disability insurance
* Employee referral incentives
* Scholarship program for employees’ children


**A day in the life:**


* Maintain strict adherence to all Company safety rules, regulations, procedures, and practices; Interpret Company policies and communicate them to teammates
* Direct, supervise and coordinate the work activities of assigned trade/craft workers including assigning workers to specific duties
* Follow specific directions from project supervision as well as assign workers to specific duties
* Interpret specifications, blueprints, and job orders as needed for area of installation
* Review and release ColonialWebb Shop Drawings and Spool Drawings for timely field installation
* Inspect work in process and completed work to ensure conformance to specifications
* Ensure required teammates are participating in Predictive reporting; audit 5X5’s and pretask plans for compliance
* Schedule material and equipment deliveries to maintain project schedule
* Attend meetings as required for the project
* Complete daily reports, upload photos and find necessary documents
* Teach, coach and guide teammates to ensure that they work safely and productively
* Acting in the interest of the Company and using independent judgement, this position has the authority over teammates assigned to him/her on site and recommends hires, transfers, suspension, layoffs, recalls, promotions, discharges, assignments, rewards, and discipline over teammates assigned to him/her
* Perform other duties as assigned by supervisor

**You should have:**


* Mechanical, administrative and analytical skills
* At least journeyman\\-level, industry experience, including supervisory experience
* Extensive knowledge of International Codes and general HVAC and plumbing systems
* Demonstrate foresight and problem\\-solving skills to make sound business decisions
* Ability to work within precise standards of accuracy, make strategic decisions based on measurable criteria and comprehend technical data
* Ability to deal diplomatically and effectively with internal and external customers
* Ability to coordinate and perform multiple activities in a timely manner
* Ability to handle day\\-to\\-day tasks relating to work assignments and asset management
* Ability to read and understand project related documents in the English language
* Ability to use current technology (i.e., laptop computer, tablet, smartphone, Microsoft Teams, Procore, BIM)

  


**Apply online:** www.ColonialWebb.com/careers.



EOE M/W/Disability/Vets



Veterans and those with previous military experience are encouraged to apply.","","https://www.indeed.com/cmp/Colonialwebb","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c83901d2b82e8b5f04032593f436c0b","http://www.colonialwebb.com","1920 E. Parham Rd. Richmond, VA","1,001 to 5,000","$100M to $500M (USD)","ColonialWebb is one of the largest commercial, mechanical, and electrical contractors in the region. Business groups include Construction, Building Service, Industrial Refrigeration, and Manufacturing","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"li-4382109639","linkedin","https://www.linkedin.com/jobs/view/4382109639","","Plumbing Service Technician","ColonialWebb","Glen Burnie, MD","2026-04-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/colonialwebb","","","","","","","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-f6d42d2b1dcd2521","indeed","https://www.indeed.com/viewjob?jk=f6d42d2b1dcd2521","https://jobs.ourcareerpages.com/job/982560?source=Indeed","Pipe Welder","ColonialWebb","Richmond, VA, US","2026-04-18","","","","","","",False,"","","","","**Pipe Welder\\- Fabrication**



ColonialWebb is seeking talented and experienced Pipe Welders to join our Fabrication Team in Richmond, VA. As Pipe Welder, you will layout, fabricate, assemble, install, and weld piping systems, fixtures, and equipment for steam, hot water, heating, cooling, lubricating, and industrial processing systems according to specifications and codes. We want someone on our team who can teach, coach, and provide direction to apprentices and helpers to work safely and deliver quality. We work safely and encourage others to do so at ColonialWebb!


* Location: 2820 Ackley Avenue Richmond, VA 23228\\.
* Environment: Fabrication Shop.
* Hours: 6:00 AM \\- 2:30 PM, M\\-F.


**What you will do:**


* Weld pipes/metals with various techniques, such as electric, gas, arc, MIG, TIG, or other equipment
	+ Know how to MIG root and fluxcore fill and cap
* Determine required equipment and welding method, applying knowledge of metallurgy, geometry, and welding techniques
* Weld holding fixtures to structural steel members
* Remove slag and rough spots with grinder, file, or scraper
* Select type and size of pipe and related materials according to job specifications
* Secure pipes to structure with clamps, brackets, and hangers, using hand tools
* Cut pipe using pipe cutters, port\\-a\\-band saw, hammer and chisel, cutting torch, and pipe cutting machine
* Assemble and install a variety of metal pipe and pipe fittings, including those made of carbon steel and stainless steel
* Operate shop forklift to lift or transport equipment, material, and supplies as necessary
* Loads and unloads shop materials from trucks and into buildings
* Teach, coach, and provide direction to apprentices and helpers to work safely and deliver quality
* Works safely, encourage others to do so, and complies with applicable health and safety\\-related rules, regulations, and procedures


**What we are looking for:**


* Ability to obtain AWS 6G certification through ColonialWebb
* Experience roll welding and with a position welder
* Experience with MIG, TIG, and Stick welding methods
* Knowledge of properties in various welding rods and fluxes used in welding metal
* Knowledge of OSHA safety guidelines
* Able to work with drawings, submittals, and specifications
* Knowledge of basic construction/shop math (addition, subtraction, division, fraction, and multiplication)
* Ability to work within precise limits and standards of accuracy
* Ability to work a flexible schedule including unscheduled overtime (nights and weekends).


**What we will offer you:**


* Competitive salary
* Career development and progression
* 401(k) plan with company match
* PTO and paid holidays
* Excellent medical, dental, life, vision and disability benefits
* Employee Assistance Program
* Employee referral incentives


**Who we are:**



At ColonialWebb, we are deeply committed to our people, our culture, and the continued growth of our business. As a full\\-service MEP (Mechanical, Electrical, and Plumbing) contractor, we pride ourselves on the quality and expertise of our teams, who work across a diverse range of specialties, including New Construction, Mechanical Service, Industrial Refrigeration, and Manufacturing. For over 50 years, we've been dedicated to delivering comprehensive solutions and unmatched service to our commercial customers, earning a reputation as a trusted contractor in the industry.



EOE M/W/Disability/Vets


* Veterans and those with previous military experience are encouraged to apply","","https://www.indeed.com/cmp/Colonialwebb","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c83901d2b82e8b5f04032593f436c0b","http://www.colonialwebb.com","1920 E. Parham Rd. Richmond, VA","1,001 to 5,000","$100M to $500M (USD)","ColonialWebb is one of the largest commercial, mechanical, and electrical contractors in the region. Business groups include Construction, Building Service, Industrial Refrigeration, and Manufacturing","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-be9660c234b4175b","indeed","https://www.indeed.com/viewjob?jk=be9660c234b4175b","https://jobs.ourcareerpages.com/job/982443?source=Indeed","Recruitment Marketing Specialist","ColonialWebb","Richmond, VA, US","2026-04-18","","","","","","",False,"","","","","**Recruitment Marketing Specialist**



You’re not posting jobs. You’re building the pipeline that keeps an entire workforce moving. ColonialWebb is hiring a Recruitment Marketing Specialist to lead recruitment marketing campaigns focused on attracting skilled trades professionals, including HVAC technicians, electricians, plumbers, pipefitters, and mechanical trades talent.



This is a great opportunity for a digital marketing specialist with experience in talent attraction, employer branding, campaign analytics, and recruiting advertising.



Why this matters: Skilled trades are the backbone of our business \\- and they’re harder than ever to find. This role sits at the center of that challenge. You’ll build and run the campaigns that attract the technicians, mechanics, and craft professionals who keep our projects moving and our customers running.


**Who we are:**



ColonialWebb is a full\\-service MEP contractor built on people and pride in our craft. Across New Construction, Mechanical Service, Industrial Refrigeration, and Manufacturing, our teams deliver work that matters. For over 50 years, we’ve earned our reputation as a trusted partner through what we do and how we show up.


**What You’ll Get:**


* A seat at the table to build something that directly impacts company growth


* The ability to test, learn, and actually own recruitment marketing strategy


* A team that values execution over theory


* Competitive pay and benefits


* 401(k) plan with company match


* PTO and paid holidays


**What You’ll Actually Do:**


* Build and run recruitment marketing campaigns across LinkedIn, Meta, job boards, and digital advertising channels


* Target and attract skilled trades talent – HVAC techs, electricians, plumbers, and more


* Create content that works: ads, social posts, landing pages, testimonials, and video concepts


* Track what’s working (and what’s not): cost per applicant, conversion rates, source performance


* Partner with HR and Talent Acquisition to prioritize roles and adjust strategy in real time


* Help shape how ColonialWebb shows up as an employer in the trades


**Qualifications:**


* 3\\+ years of experience in digital marketing, recruitment marketing, talent attraction, or employer branding


* Experience managing performance\\-based marketing campaigns


* Strong skills in campaign analytics, lead generation, and optimization


* Ability to create compelling content and messaging for recruiting campaigns


* Strong communication and collaboration skills



This is not a job posting or coordinator role. This is a marketing role focused on campaign strategy, content, and performance.


**Preferred:**


* Experience marketing to skilled trades, construction, HVAC, mechanical, or industrial audiences


* Experience with programmatic advertising or geo\\-targeted recruiting campaigns



EOE M/W/Disability/Vets


* Veterans and those with previous military experience are encouraged to apply","","https://www.indeed.com/cmp/Colonialwebb","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c83901d2b82e8b5f04032593f436c0b","http://www.colonialwebb.com","1920 E. Parham Rd. Richmond, VA","1,001 to 5,000","$100M to $500M (USD)","ColonialWebb is one of the largest commercial, mechanical, and electrical contractors in the region. Business groups include Construction, Building Service, Industrial Refrigeration, and Manufacturing","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
"in-fc07384a4641b2bf","indeed","https://www.indeed.com/viewjob?jk=fc07384a4641b2bf","https://jobs.ourcareerpages.com/job/960695?source=Indeed","Electrical Foreman","ColonialWebb","Richmond, VA, US","2026-04-18","","","","","","",False,"","","","","ColonialWebb is seeking experienced commercial electricians to lead projects within our growing Electrical team!



If you have commercial electrical experience and are seeking an opportunity to develop and grow your career, while working on challenging projects, come join ColonialWebb!


**Who we are:**



At ColonialWebb, we are deeply committed to our people, our culture, and the continued growth of our business. As a full\\-service MEP (Mechanical, Electrical, and Plumbing) contractor, we pride ourselves on the quality and expertise of our teams, who work across a diverse range of specialties, including New Construction, Mechanical Service, Industrial Refrigeration, and Manufacturing. For over 50 years, we've been dedicated to delivering comprehensive solutions and unmatched service to our commercial customers, earning a reputation as a trusted contractor in the industry.


**Perks of joining ColonialWebb:**


* Market, competitive wages based on experience
* Opportunities for career growth, training, and development
* 401(k) plan with a generous company match
* Personal leave, paid holidays, bereavement leave
* Excellent Medical, dental, vision, and Rx drug insurance
* Life and accidental death insurance
* Short and Long\\-Term Disability insurance
* Employee referral incentives
* Scholarship program for employees’ children


**A day in the life:**


* Control and lead projects
* Maintain project documents and customer relationships
* Provide direction to electricians and helpers
* Perform electrical installation and repair operations to electrical systems and control systems
* Install and repair equipment such as relays, starters, switches, motors, motor control centers, switchgear, transformers, power distribution centers and associated over current protection, heat tracing systems, and cable and cable trays
* Determine conduit sizes, pull conductors, make terminations and install junction boxes
* Support wiring and other electrical operations relative to retrofits, construction projects, installations, equipment replacements, and other service projects


**You should have:**


* Possession of applicable electrical Journeymen or Master’s license (not required, but a plus)
* Completion of applicable trade school preferred
* Foreman level experience in power and control wiring, and commercial electrical installations
* Ability to control/lead projects and supervise electricians and helpers.
* Must be able to work independently without supervision and control your own project
* High school diploma or equivalent
* Knowledge of NEC and applicable local codes and OSHA safety regulations
* Communication and customer service skills
* Must have a clean driving record and able to pass a drug screen and background check


**Apply online:** www.ColonialWebb.com/careers.



EOE M/W/Disability/Vets","","https://www.indeed.com/cmp/Colonialwebb","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c83901d2b82e8b5f04032593f436c0b","http://www.colonialwebb.com","1920 E. Parham Rd. Richmond, VA","1,001 to 5,000","$100M to $500M (USD)","ColonialWebb is one of the largest commercial, mechanical, and electrical contractors in the region. Business groups include Construction, Building Service, Industrial Refrigeration, and Manufacturing","","","","","","","(plumber OR plumbing OR HVAC OR HVACR OR ""sheet metal"" OR pipefitter OR steamfitter OR ""commercial HVAC"" OR ""residential HVAC"" OR boilermaker OR apprentice) (apprentice OR ""entry level"" OR helper OR t...","2026-04-21 02:31:07"
